market,week_index,week_start,sessions,fragrance_orders,fragrance_revenue,conversion_rate,average_order_value,revenue_per_session,paid_media_index,promo_intensity,new_visitor_share,pilot_market,post_launch,digital_feature_available,weeks_from_launch
Australia,0,2025-01-06,69314,1870,147050.31,0.026978676746400438,78.64,2.1215,96.81,0.2081,0.3308,0,0,0,-65
Australia,1,2025-01-13,71010,2011,159108.26,0.028319954935924516,79.12,2.2406,100.78,0.2142,0.387,0,0,0,-64
Australia,2,2025-01-20,71268,1954,150249.86,0.02741763484312735,76.89,2.1082,89.21,0.2005,0.3705,0,0,0,-63
Australia,3,2025-01-27,67993,1632,128219.61,0.024002470842586738,78.57,1.8858,104.77,0.2123,0.3519,0,0,0,-62
Australia,4,2025-02-03,68280,1952,161268.21,0.028588166373755126,82.62,2.3619,101.49,0.1982,0.3558,0,0,0,-61
Australia,5,2025-02-10,68817,1847,146175.75,0.026839298429167213,79.14,2.1241,110.41,0.2243,0.3735,0,0,0,-60
Australia,6,2025-02-17,68027,1800,152607.81,0.026460082026254283,84.78,2.2433,107.7,0.1972,0.3566,0,0,0,-59
Australia,7,2025-02-24,68675,1749,142637.84,0.025467783036039315,81.55,2.077,101.65,0.2,0.3825,0,0,0,-58
Australia,8,2025-03-03,68610,1746,137438.21,0.02544818539571491,78.72,2.0032,99.87,0.2162,0.3602,0,0,0,-57
Australia,9,2025-03-10,68177,1526,116818.79,0.02238291505933086,76.55,1.7135,94.04,0.2017,0.3735,0,0,0,-56
Australia,10,2025-03-17,66388,1696,137090.81,0.025546785563656083,80.83,2.065,95.77,0.2536,0.3842,0,0,0,-55
Australia,11,2025-03-24,63795,1668,130663.84,0.02614624970608982,78.34,2.0482,103.24,0.2165,0.3704,0,0,0,-54
Australia,12,2025-03-31,69051,1692,136602.65,0.024503627753399662,80.73,1.9783,105.98,0.2324,0.3874,0,0,0,-53
Australia,13,2025-04-07,69608,1630,123807.04,0.023416848638087576,75.96,1.7786,107.14,0.1967,0.3811,0,0,0,-52
Australia,14,2025-04-14,66377,1601,132492.2,0.024119800533317262,82.76,1.9961,105.4,0.2191,0.3774,0,0,0,-51
Australia,15,2025-04-21,68864,1628,126523.36,0.023640799256505578,77.72,1.8373,103.89,0.2218,0.3904,0,0,0,-50
Australia,16,2025-04-28,67877,1905,143392.39,0.028065471367326192,75.27,2.1125,100.18,0.2405,0.3673,0,0,0,-49
Australia,17,2025-05-05,65273,1634,135794.78,0.025033321587792808,83.11,2.0804,104.28,0.2066,0.3565,0,0,0,-48
Australia,18,2025-05-12,67745,1811,143652.94,0.02673260019189608,79.32,2.1205,103.86,0.1948,0.3691,0,0,0,-47
Australia,19,2025-05-19,63097,1685,138195.52,0.0267049146552134,82.02,2.1902,102.76,0.2169,0.3406,0,0,0,-46
Australia,20,2025-05-26,64682,1688,134191.1,0.026096904857611083,79.5,2.0746,98.04,0.2095,0.3463,0,0,0,-45
Australia,21,2025-06-02,67592,1626,136079.38,0.02405610131376494,83.69,2.0132,101.32,0.2103,0.3677,0,0,0,-44
Australia,22,2025-06-09,69014,1628,134871.26,0.023589416640102008,82.84,1.9543,93.25,0.2198,0.3883,0,0,0,-43
Australia,23,2025-06-16,67050,1690,135613.5,0.025205070842654734,80.24,2.0226,100.07,0.2162,0.3882,0,0,0,-42
Australia,24,2025-06-23,66093,1772,139756.67,0.02681070612621609,78.87,2.1145,99.66,0.2211,0.3515,0,0,0,-41
Australia,25,2025-06-30,68314,1814,143939.92,0.02655385426120561,79.35,2.107,99.07,0.2316,0.3649,0,0,0,-40
Australia,26,2025-07-07,68726,1854,149737.5,0.026976690044524635,80.76,2.1788,94.76,0.2091,0.3533,0,0,0,-39
Australia,27,2025-07-14,73445,1921,151918.87,0.026155626659404997,79.08,2.0685,96.04,0.1876,0.3622,0,0,0,-38
Australia,28,2025-07-21,71087,1777,143348.2,0.024997538227805365,80.67,2.0165,96.43,0.1771,0.3844,0,0,0,-37
Australia,29,2025-07-28,72584,1893,150717.45,0.02608012785186818,79.62,2.0765,104.01,0.1838,0.3427,0,0,0,-36
Australia,30,2025-08-04,67950,1834,156566.61,0.026990434142752023,85.37,2.3041,87.46,0.1456,0.3439,0,0,0,-35
Australia,31,2025-08-11,69413,1942,166736.81,0.027977468197599872,85.86,2.4021,89.38,0.2028,0.3585,0,0,0,-34
Australia,32,2025-08-18,69354,1796,150155.09,0.02589612711595582,83.61,2.1651,83.82,0.1834,0.3438,0,0,0,-33
Australia,33,2025-08-25,73614,1972,162357.73,0.026788382644605646,82.33,2.2055,89.72,0.1758,0.3414,0,0,0,-32
Australia,34,2025-09-01,68089,1734,146990.98,0.025466668624888014,84.77,2.1588,95.73,0.1623,0.3365,0,0,0,-31
Australia,35,2025-09-08,70947,1864,151129.29,0.026273133465826604,81.08,2.1302,88.97,0.1889,0.3616,0,0,0,-30
Australia,36,2025-09-15,73105,2089,182789.28,0.0285753368442651,87.5,2.5004,86.62,0.1747,0.3269,0,0,0,-29
Australia,37,2025-09-22,71090,1998,169917.17,0.02810521873681249,85.04,2.3902,90.15,0.1743,0.3402,0,0,0,-28
Australia,38,2025-09-29,74427,2073,178297.32,0.02785279535652384,86.01,2.3956,86.14,0.1846,0.3213,0,0,0,-27
Australia,39,2025-10-06,70385,1988,167625.42,0.028244654400795623,84.32,2.3816,90.76,0.1842,0.3585,0,0,0,-26
Australia,40,2025-10-13,70551,1829,150412.84,0.02592450851157319,82.24,2.132,88.56,0.1852,0.3392,0,0,0,-25
Australia,41,2025-10-20,73929,2073,181146.54,0.02804041715700199,87.38,2.4503,96.3,0.1829,0.3528,0,0,0,-24
Australia,42,2025-10-27,72612,2056,174936.35,0.028314879083347105,85.09,2.4092,96.65,0.1814,0.3397,0,0,0,-23
Australia,43,2025-11-03,68636,1769,147696.69,0.025773646482895273,83.49,2.1519,90.91,0.1908,0.3373,0,0,0,-22
Australia,44,2025-11-10,74513,1952,163913.54,0.02619677103324252,83.97,2.1998,99.98,0.1996,0.3643,0,0,0,-21
Australia,45,2025-11-17,66876,1777,148000.62,0.026571565285005084,83.29,2.2131,96.48,0.2131,0.3487,0,0,0,-20
Australia,46,2025-11-24,71151,2049,164089.22,0.02879790867310368,80.08,2.3062,108.9,0.2619,0.3608,0,0,0,-19
Australia,47,2025-12-01,72602,2124,176100.91,0.029255392413432137,82.91,2.4256,104.37,0.2352,0.3449,0,0,0,-18
Australia,48,2025-12-08,69269,1970,170381.21,0.028439850438146935,86.49,2.4597,104.89,0.1989,0.3338,0,0,0,-17
Australia,49,2025-12-15,71557,1916,162449.73,0.026775857009097643,84.79,2.2702,99.32,0.2438,0.3419,0,0,0,-16
Australia,50,2025-12-22,69783,1718,142453.76,0.024619176590287034,82.92,2.0414,101.29,0.1978,0.3611,0,0,0,-15
Australia,51,2025-12-29,70202,1999,171916.72,0.028474972223013588,86.0,2.4489,99.31,0.2469,0.3515,0,0,0,-14
Australia,52,2026-01-05,71277,1844,152439.8,0.025870898045652877,82.67,2.1387,92.1,0.2008,0.3515,0,0,0,-13
Australia,53,2026-01-12,69863,1635,128292.61,0.023402945765283484,78.47,1.8363,99.3,0.202,0.3577,0,0,0,-12
Australia,54,2026-01-19,68648,1656,138594.13,0.024123062580118867,83.69,2.0189,98.87,0.2133,0.3432,0,0,0,-11
Australia,55,2026-01-26,68974,1756,147717.72,0.025458868559167222,84.12,2.1416,96.27,0.2083,0.377,0,0,0,-10
Australia,56,2026-02-02,69845,1665,141912.3,0.023838499534683942,85.23,2.0318,102.58,0.2017,0.3399,0,0,0,-9
Australia,57,2026-02-09,62892,1529,125556.68,0.02431151815811232,82.12,1.9964,107.91,0.2108,0.3489,0,0,0,-8
Australia,58,2026-02-16,67045,1683,130801.28,0.0251025430680886,77.72,1.9509,102.51,0.2337,0.3506,0,0,0,-7
Australia,59,2026-02-23,64269,1478,121642.6,0.022997090354603306,82.3,1.8927,103.61,0.2065,0.3723,0,0,0,-6
Australia,60,2026-03-02,66050,1512,128814.2,0.022891748675246026,85.19,1.9503,100.09,0.2393,0.3712,0,0,0,-5
Australia,61,2026-03-09,65869,1734,132049.08,0.026324978366150997,76.15,2.0047,104.43,0.2037,0.3721,0,0,0,-4
